timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719922000243,378,homepage,200,OK,Thread Group 1-1,text,true,,31942,129,1,1,http://shivajicollege.org/index.php,336,0,161
1719922000625,164,contactpage,200,OK,Thread Group 1-1,text,true,,16753,140,1,1,http://shivajicollege.org/pages/contact_us.php,164,0,0
1719922000790,182,aboutuspage,200,OK,Thread Group 1-1,text,true,,18006,143,1,1,http://shivajicollege.org/pages/about_college.php,178,0,0
1719922000972,699,academicpages,200,OK,Thread Group 1-1,text,true,,218500,135,1,1,http://shivajicollege.org/pdf/Courses.pdf,336,0,0
1719922001671,988,admissionpage,200,OK,Thread Group 1-1,text,true,,388997,143,1,1,http://shivajicollege.org/pdf/scholarship_new.pdf,374,0,0
1719922002660,670,facilitypages,200,OK,Thread Group 1-1,text,true,,22518,136,1,1,http://shivajicollege.org/pages/hostel.php,476,0,0
1719922003331,163,aluminipage,200,OK,Thread Group 1-1,text,true,,18454,142,1,1,http://shivajicollege.org/pages/about_alumni.php,161,0,0
1719922003494,247,facilitiespage,200,OK,Thread Group 1-1,text,true,,17524,147,1,1,http://shivajicollege.org/pages/cooperative_store.php,234,0,0
1719922003742,459,gallerypage,200,OK,Thread Group 1-1,text,true,,33916,144,1,1,http://shivajicollege.org/pages/youth_festival.php,402,0,0
1719922004202,87,librarypager,200,OK,Thread Group 1-1,text,true,,17985,143,1,1,http://shivajicollege.org/pages/add_on_course.php,71,0,0
1719922004290,74,departmentpage,200,OK,Thread Group 1-1,text,true,,17985,143,1,1,http://shivajicollege.org/pages/add_on_course.php,73,0,0
